,icao_designator,verified,location,elevation,name,magnetic_variation
0,EGPD,0,0,0,ABERDEEN/DYCE,0
1,EGJA,0,0,0,ALDERNEY,0
2,EGSL,0,0,0,ANDREWSFIELD,0
3,EGPR,0,0,0,BARRA,0
4,EGBF,0,0,0,BEDFORD,0
5,EGAA,0,0,0,BELFAST ALDERGROVE,0
6,EGAC,0,0,0,BELFAST/CITY,0
7,EGPL,0,0,0,BENBECULA,0
8,EGKB,0,0,0,BIGGIN HILL,0
9,EGBB,0,0,0,BIRMINGHAM,0
10,EGLK,0,0,0,BLACKBUSHE,0
11,EGNH,0,0,0,BLACKPOOL,0
12,EGHH,0,0,0,BOURNEMOUTH,0
13,EGGD,0,0,0,BRISTOL,0
14,EGCK,0,0,0,CAERNARFON,0
15,EGSC,0,0,0,CAMBRIDGE,0
16,EGEC,0,0,0,CAMPBELTOWN,0
17,EGFF,0,0,0,CARDIFF,0
18,EGNC,0,0,0,CARLISLE,0
19,EGLJ,0,0,0,CHALGROVE,0
20,EGHR,0,0,0,CHICHESTER/GOODWOOD,0
21,EGHA,0,0,0,COMPTON ABBAS,0
22,EGBE,0,0,0,COVENTRY,0
23,EGTC,0,0,0,CRANFIELD,0
24,EGPG,0,0,0,CUMBERNAULD,0
25,EGLD,0,0,0,DENHAM,0
26,EGBD,0,0,0,DERBY,0
27,EGCN,0,0,0,DONCASTER SHEFFIELD,0
28,EGPN,0,0,0,DUNDEE,0
29,EGTU,0,0,0,DUNKESWELL,0
30,EGSU,0,0,0,DUXFORD,0
31,EGSR,0,0,0,EARLS COLNE,0
32,EGNX,0,0,0,EAST MIDLANDS,0
33,EGPH,0,0,0,EDINBURGH,0
34,EGTR,0,0,0,ELSTREE,0
35,EGAB,0,0,0,ENNISKILLEN/ST ANGELO,0
36,EGTE,0,0,0,EXETER,0
37,EGEF,0,0,0,FAIR ISLE,0
38,EGTF,0,0,0,FAIROAKS,0
39,EGLF,0,0,0,FARNBOROUGH,0
40,EGCL,0,0,0,FENLAND,0
41,EGBJ,0,0,0,GLOUCESTERSHIRE,0
42,EGJB,0,0,0,GUERNSEY,0
43,EGNR,0,0,0,HAWARDEN,0
44,EGNJ,0,0,0,HUMBERSIDE,0
45,EGPE,0,0,0,INVERNESS,0
46,EGPI,0,0,0,ISLAY,0
47,EGNS,0,0,0,ISLE OF MAN,0
48,EGJJ,0,0,0,JERSEY,0
49,EGBP,0,0,0,KEMBLE,0
50,EGPA,0,0,0,KIRKWALL,0
51,EGHC,0,0,0,LAND'S END,0
52,EGKH,0,0,0,LASHENDEN/HEADCORN,0
53,EGNM,0,0,0,LEEDS BRADFORD,0
54,EGBG,0,0,0,LEICESTER,0
55,EGET,0,0,0,LERWICK/TINGWALL,0
56,EGGP,0,0,0,LIVERPOOL,0
57,EGLC,0,0,0,LONDON CITY,0
58,EGKK,0,0,0,LONDON GATWICK,0
59,EGLL,0,0,0,LONDON HEATHROW,0
60,EGGW,0,0,0,LONDON LUTON,0
61,EGSS,0,0,0,LONDON STANSTED,0
62,EGAE,0,0,0,LONDONDERRY/EGLINTON,0
63,EGMD,0,0,0,LYDD,0
64,EGCC,0,0,0,MANCHESTER,0
65,EGCB,0,0,0,MANCHESTER BARTON,0
66,EGNF,0,0,0,NETHERTHORPE,0
67,EGNT,0,0,0,NEWCASTLE,0
68,EGHQ,0,0,0,NEWQUAY,0
69,EGAD,0,0,0,NEWTOWNARDS,0
70,EGBK,0,0,0,NORTHAMPTON/SYWELL,0
71,EGSH,0,0,0,NORWICH,0
72,EGBN,0,0,0,NOTTINGHAM,0
73,EGEO,0,0,0,OBAN,0
74,EGTK,0,0,0,OXFORD,0
75,EGPT,0,0,0,PERTH/SCONE,0
76,EGSF,0,0,0,PETERBOROUGH/CONINGTON,0
77,EGPK,0,0,0,PRESTWICK,0
78,EGKR,0,0,0,REDHILL,0
79,EGNE,0,0,0,RETFORD/GAMSTON,0
80,EGTO,0,0,0,ROCHESTER,0
81,EGCF,0,0,0,SANDTOFT,0
82,EGHE,0,0,0,SCILLY ISLES/ST MARY'S,0
83,EGCJ,0,0,0,SHERBURN-IN-ELMET,0
84,EGBS,0,0,0,SHOBDON,0
85,EGKA,0,0,0,SHOREHAM,0
86,EGCV,0,0,0,SLEAP,0
87,EGHI,0,0,0,SOUTHAMPTON,0
88,EGMC,0,0,0,SOUTHEND,0
89,EGSG,0,0,0,STAPLEFORD,0
90,EGPO,0,0,0,STORNOWAY,0
91,EGPB,0,0,0,SUMBURGH,0
92,EGNV,0,0,0,TEESSIDE INTERNATIONAL,0
93,EGFH,0,0,0,SWANSEA,0
94,EGBM,0,0,0,TATENHILL,0
95,EGPU,0,0,0,TIREE,0
96,EGNL,0,0,0,WALNEY,0
97,EGNO,0,0,0,WARTON,0
98,EGBW,0,0,0,WELLESBOURNE MOUNTFORD,0
99,EGCW,0,0,0,WELSHPOOL,0
100,EGLM,0,0,0,WHITE WALTHAM,0
101,EGPC,0,0,0,WICK,0
102,EGNW,0,0,0,WICKENBY,0
103,EGBO,0,0,0,WOLVERHAMPTON/HALFPENNY GREEN,0
104,EGTB,0,0,0,WYCOMBE AIR PARK/BOOKER,0
105,EGHG,0,0,0,YEOVIL/WESTLAND,0
106,EGLW,0,0,0,LONDON HELIPORT,0
