,icao_designator,callsign_type,frequency
0,EGPD,APPROACH,119.055
1,EGPD,APPROACH,121.250
2,EGPD,GROUND,121.705
3,EGPD,GROUND,118.105
4,EGPD,TOWER,118.105
5,EGPD,DIRECTOR,128.305
6,EGPD,DIRECTOR,118.105
7,EGPD,RADAR,119.055
8,EGPD,INFORMATION,114.300
9,EGPD,INFORMATION,121.855
10,EGPD,FIRE,121.600
11,EGJA,APPROACH,128.655
12,EGJA,GROUND,130.505
13,EGJA,TOWER,125.355
14,EGJA,FIRE,121.600
15,EGJA,FIRE,120.450
16,EGJA,FIRE,125.205
17,EGJA,FIRE,125.205
18,EGSL,RADIO,130.555
19,EGPR,INFORMATION,118.080
20,EGBF,RADIO,119.030
21,EGAA,APPROACH,133.125
22,EGAA,GROUND,121.755
23,EGAA,TOWER,118.300
24,EGAA,DIRECTOR,120.905
25,EGAA,INFORMATION,126.130
26,EGAA,FIRE,121.600
27,EGAA,EMERGENCY,121.500
28,EGAC,APPROACH,130.850
29,EGAC,TOWER,122.830
30,EGAC,RADAR,134.800
31,EGAC,INFORMATION,124.580
32,EGAC,FIRE,121.600
33,EGAC,EMERGENCY,121.500
34,EGPL,APPROACH,119.205
35,EGPL,TOWER,119.205
36,EGPL,INFORMATION,119.205
37,EGPL,INFORMATION,113.950
38,EGPL,FIRE,121.600
39,EGKB,APPROACH,129.405
40,EGKB,TOWER,134.805
41,EGKB,INFORMATION,135.680
42,EGKB,FIRE,121.600
43,EGBB,DIRECTOR,131.005
44,EGBB,APPROACH,123.980
45,EGBB,RADAR,123.980
46,EGBB,RADAR,131.330
47,EGBB,DELIVERY,121.930
48,EGBB,DELIVERY,118.305
49,EGBB,GROUND,121.805
50,EGBB,TOWER,118.305
51,EGBB,INFORMATION,136.030
52,EGBB,FIRE,121.600
53,EGLK,INFORMATION,122.305
54,EGLK,RADIO,122.305
55,EGNH,TOWER,119.955
56,EGNH,TOWER,118.405
57,EGNH,INFORMATION,127.205
58,EGNH,FIRE,121.600
59,EGHH,APPROACH,119.480
60,EGHH,GROUND,121.705
61,EGHH,TOWER,125.605
62,EGHH,DIRECTOR,118.655
63,EGHH,RADAR,119.480
64,EGHH,INFORMATION,133.730
65,EGHH,FIRE,121.600
66,EGHH,RADIO,125.605
67,EGGD,RADAR,125.650
68,EGGD,DELIVERY,121.930
69,EGGD,TOWER,133.850
70,EGGD,DIRECTOR,136.080
71,EGGD,INFORMATION,126.030
72,EGGD,FIRE,121.600
73,EGCK,RADIO,122.255
74,EGCK,RADIO,122.255
75,EGCK,RADIO,122.255
76,EGSC,APPROACH,120.965
77,EGSC,TOWER,125.905
78,EGSC,DIRECTOR,124.980
79,EGSC,RADAR,124.980
80,EGSC,INFORMATION,134.605
81,EGSC,FIRE,121.600
82,EGSC,EMERGENCY,121.500
83,EGEC,INFORMATION,125.905
84,EGFF,APPROACH,119.155
85,EGFF,APPROACH,125.855
86,EGFF,TOWER,133.105
87,EGFF,RADAR,125.855
88,EGFF,INFORMATION,132.480
89,EGNC,FIRE,121.600
90,EGNC,RADIO,123.605
91,EGLJ,RADIO,125.410
92,EGHR,INFORMATION,122.455
93,EGHA,RADIO,122.710
94,EGBE,INFORMATION,123.830
95,EGBE,FIRE,121.600
96,EGTC,APPROACH,122.855
97,EGTC,TOWER,122.855
