,start,end,depart,arrive,string
0,0101,0117,EG\w{2},Brussels,Transit
1,0120,0137,EG\w{2},Germany,Transit
2,0140,0177,EG\w{2},Amsterdam,Transit
3,0401,0417,EG\w{2},EGBB,Birmingham
4,0401,0450,EG\w{2},EGTE,Exeter
5,0401,0461,EG\w{2},Military,RAF
6,0402,0437,EG\w{2},Military,RAF
7,0421,0427,EG\w{2},EGLF,Farnboroug
8,0430,0437,EG\w{2},EGPH,Edinburgh
9,0430,0456,EG\w{2},EGLF,Farnboroug
10,0430,0456,EG\w{2},EGHG,West
11,0431,0446,EG\w{2},EGNR,Hawarden
12,0441,0443,EG\w{2},EGPH,Edinburgh
13,0460,0467,EG\w{2},EGLF,Farnboroug
14,0601,0637,EG\w{2},Germany,Transit
15,0640,0677,EG\w{2},Paris,Transit
16,0701,0727,EG\w{2},Maastricht,Transit
17,0770,0777,EG\w{2},Maastricht,Transit
18,1001,1067,EG\w{2},Spain,Transit
19,1101,1137,EG\w{2},Germany,Transit
20,1307,1327,EG\w{2},Military,NATO
21,1330,1377,EG\w{2},Germany,Transit
22,1730,1746,EG\w{2},EGHQ,Newquay
23,1730,1746,EG\w{2},EGLF,Farnboroug
24,1730,1746,EG\w{2},EGNX,East
25,1730,1767,EG\w{2},Military,RAF
26,1750,1756,EG\w{2},EGHQ,Newquay
27,1760,1777,EG\w{2},Military,RNAS
28,2101,2147,EG\w{2},Amsterdam,Transit
29,2301,2377,EG\w{2},France,Transit
30,2501,2577,EG\w{2},Germany,Transit
31,2601,2637,EG\w{2},Military,RAF
32,2621,2630,EG\w{2},EGPD,Aberdeen
33,2621,2630,EG\w{2},EGPB,Sumburgh
34,2631,2637,EG\w{2},EGPD,Aberdeen
35,2631,2637,EG\w{2},EGBK,North
36,2631,2637,EG\w{2},EGFH,Sea
37,2640,2642,EG\w{2},Military,RAF
38,2640,2657,EG\w{2},EGPD,Aberdeen
39,2640,2657,EG\w{2},EGBK,North
40,2640,2657,EG\w{2},EGFH,Sea
41,2640,2657,EG\w{2},EGPB,Sumburgh
42,2643,2644,EG\w{2},Military,RAF
43,2646,2647,EG\w{2},Military,RAF
44,2650,2653,EG\w{2},EGNM,Leeds
45,2650,2653,EG\w{2},EGNM,Bradford
46,2655,2676,EG\w{2},EGNM,Leeds
47,2655,2676,EG\w{2},EGNM,Bradford
48,2660,2677,EG\w{2},EGPD,Aberdeen
49,2660,2677,EG\w{2},EGBK,North
50,2660,2677,EG\w{2},EGFH,Sea
51,2740,2777,EG\w{2},Zurich,Transit
52,3001,3077,EG\w{2},Zurich,Transit
53,3101,3127,EG\w{2},Germany,Transit
54,3130,3177,EG\w{2},Amsterdam,Transit
55,3201,3277,EG\w{2},Turkey,Transit
56,3301,3303,EG\w{2},Military,Military
57,3310,3367,EG\w{2},Military,Military
58,3501,3507,EG\w{2},Luxembourg,Transit
59,3540,3577,EG\w{2},Berlin,Transit
60,3601,3623,EG\w{2},Military,RAF
61,3601,3634,EG\w{2},Military,RAF
62,3601,3647,EG\w{2},EGJJ,Jersey
63,3601,3657,EG\w{2},EGFF,Cardiff
64,3625,3627,EG\w{2},Military,RAF
65,3640,3645,EG\w{2},Military,RAF
66,3640,3666,EG\w{2},Military,RAF
67,3640,3677,EG\w{2},EGPD,Aberdeen
68,3640,3677,EG\w{2},EGBK,North
69,3640,3677,EG\w{2},EGFH,Sea
70,3641,3647,EG\w{2},EGNO,Warton
71,3646,3657,EG\w{2},EGFF,Cardiff
72,3647,3653,EG\w{2},Military,RAF
73,3651,3657,EG\w{2},EGNO,Warton
74,3660,3665,EG\w{2},EGHI,Southampto
75,3661,3677,EG\w{2},EGNO,Warton
76,3667,3677,EG\w{2},EGHI,Southampto
77,3701,3706,EG\w{2},EGSH,Norwich
78,3701,3717,EG\w{2},Military,Military
79,3701,3717,EG\w{2},EGHG,West
80,3701,3736,EG\w{2},Military,RAF
81,3701,3727,EG\w{2},EGJB,Guernsey
82,3701,3767,EG\w{2},Military,RAF
83,3720,3727,EG\w{2},Military,RAF
84,3720,3727,EG\w{2},Military,RAF
85,3720,3766,EG\w{2},EGNT,Newcastle
86,3730,3736,EG\w{2},Military,RAF
87,3730,3747,EG\w{2},Military,RAF
88,3740,3745,EG\w{2},Military,RAF
89,3740,3747,EG\w{2},Military,RAF
90,3750,3751,EG\w{2},Military,RAF
91,3750,3761,EG\w{2},EGKK,Gatwick
92,3751,3757,EG\w{2},Military,RAF
93,3760,3765,EG\w{2},Military,RAF
94,3764,3766,EG\w{2},EGKK,Gatwick
95,4001,4077,EG\w{2},France,Transit
96,4101,4177,EG\w{2},Germany,Transit
97,4250,4267,EG\w{2},EGPD,Aberdeen
98,4250,4277,EG\w{2},EGNJ,Humberside
99,4320,4327,EG\w{2},Military,RNAS
100,4330,4337,EG\w{2},EGPK,Prestwick
101,4354,4356,EG\w{2},EGHG,Westland
102,4354,4356,EG\w{2},EGHG,Yeovil
103,4360,4367,EG\w{2},EGHG,Westland
104,4360,4367,EG\w{2},EGHG,Yeovil
105,4360,4367,EG\w{2},Military,RAF
106,4370,4377,EG\w{2},Military,RNAS
