,name,type,coords,freq
0,ADN,VOR,N57.18.37.62 W002.16.01.95,114.300
1,BKY,DME,N51.59.23.17 E000.03.42.87,116.250
2,BEL,VOR,N54.39.40.27 W006.13.47.66,117.200
3,BEN,DME,N57.28.40.57 W007.21.55.08,113.950
4,BHD,VOR,N50.23.54.98 W003.29.37.46,112.050
5,BIG,DME,N51.19.51.15 E000.02.05.32,115.100
6,BNN,DME,N51.43.34.19 W000.32.59.10,113.750
7,BCN,DME,N51.43.31.89 W003.15.46.92,117.450
8,BPK,DME,N51.44.59.05 W000.06.24.25,117.500
9,CLN,VOR,N51.50.54.50 E001.08.51.32,114.550
10,CPT,VOR,N51.29.29.66 W001.13.10.89,114.350
11,DTY,DME,N52.10.48.51 W001.06.49.64,116.400
12,DCS,DME,N54.43.18.88 W003.20.26.30,115.200
13,DET,DME,N51.18.14.41 E000.35.50.19,117.300
14,DVR,DME,N51.09.45.44 E001.21.32.72,114.950
15,DUD,DME,N55.33.31.70 W004.36.05.54,115.450
16,GAM,DME,N53.16.53.28 W000.56.49.79,112.800
17,GOW,DME,N55.52.13.81 W004.26.44.60,115.400
18,GWC,DME,N50.51.18.79 W000.45.24.25,114.750
19,DUF,DME,N54.41.00.60 W002.27.03.66,115.250
20,GLO,DME,N55.23.24.44 W003.44.11.52,109.650
21,HEN,NDB,N51.45.35.07 W000.47.25.05,433.500
22,HON,VOR,N52.21.24.04 W001.39.49.41,113.650
23,IOM,VOR,N54.04.00.72 W004.45.48.51,112.200
24,JSY,VOR,N49.13.15.97 W002.02.46.15,112.200
25,LAM,DME,N51.38.45.69 E000.09.06.13,115.600
26,LND,VOR,N50.08.10.62 W005.38.12.96,114.200
27,LYD,DME,N50.59.58.87 E000.52.43.18,114.050
28,MAC,DME,N55.25.48.08 W005.39.01.49,116.000
29,MCT,DME,N53.21.25.29 W002.15.44.24,113.550
30,MAY,DME,N51.01.01.86 E000.06.58.04,117.900
31,MID,DME,N51.03.14.23 W000.37.30.01,114.000
32,NEW,DME,N55.02.18.41 W001.41.54.14,114.250
33,OCK,DME,N51.18.18.17 W000.26.49.86,115.300
34,OTR,VOR,N53.41.53.57 W000.06.13.45,113.900
35,PTH,VOR,N56.26.32.63 W003.22.06.96,110.400
36,POL,VOR,N53.44.37.56 W002.06.11.98,112.100
37,SAB,VOR,N55.54.27.04 W002.12.22.81,112.500
38,SFD,VOR,N50.45.38.49 E000.07.18.89,117.000
39,SAM,DME,N50.57.18.90 W001.20.42.20,113.350
40,STN,VOR,N58.12.25.02 W006.10.58.97,115.100
41,STU,VOR,N51.59.40.88 W005.02.24.69,113.100
42,SUM,VOR,N59.52.43.34 W001.17.11.49,117.350
43,TLA,VOR,N55.29.56.92 W003.21.10.20,113.800
44,TIR,VOR,N56.29.35.57 W006.52.32.12,117.700
45,TNT,DME,N53.03.14.23 W001.40.11.89,115.700
46,TRN,DME,N55.18.48.28 W004.47.01.89,117.500
47,WAL,VOR,N53.23.30.97 W003.08.04.06,114.100
48,WIK,VOR,N58.27.31.74 W003.06.01.34,113.600
49,WIN,DME,N51.47.26.30 W002.03.00.77,115.750
50,WOD,NDB,N51.27.10.02 W000.52.43.68,352.000
